STU_CODE,NAME,Time_Sport_P0,Time_Sport_P1,Time_Sport_P2,Time_Sport_P3,Time_Sport_P4,Time_Sport_P5,Time_Sport_P6,Time_Life_P0,Time_Life_P1,Time_Life_P2,Time_Life_P3,Time_Life_P4,Time_Life_P5,Time_Life_P6,Time_Life_P7,Revise_Sport_P1,Revise_Sport_P2,Revise_Sport_P3,Revise_Sport_P4,Revise_Sport_P5,Revise_Sport_P6,Revise_Life_P1,Revise_Life_P2,Revise_Life_P3,Revise_Life_P4,Revise_Life_P5,Revise_Life_P6,Revise_Life_P7,Repeat_Sport_P1,Repeat_Sport_P2,Repeat_Sport_P3,Repeat_Sport_P4,Repeat_Sport_P5,Repeat_Sport_P6,Repeat_Life_P1,Repeat_Life_P2,Repeat_Life_P3,Repeat_Life_P4,Repeat_Life_P5,Repeat_Life_P6,Repeat_Life_P7,Before_Sport_P1,Before_Sport_P2,Before_Sport_P3,Before_Sport_P4,Before_Sport_P5,Before_Sport_P6,Before_Life_P1,Before_Life_P2,Before_Life_P3,Before_Life_P4,Before_Life_P5,Before_Life_P6,Before_Life_P7,After_Sport_P1,After_Sport_P2,After_Sport_P3,After_Sport_P4,After_Sport_P5,After_Sport_P6,After_Life_P1,After_Life_P2,After_Life_P3,After_Life_P4,After_Life_P5,After_Life_P6,After_Life_P7,AR_Sport_P1,AR_Sport_P2,AR_Sport_P3,AR_Sport_P4,AR_Sport_P5,AR_Sport_P6,AR_Life_P1,AR_Life_P2,AR_Life_P3,AR_Life_P4,AR_Life_P5,AR_Life_P6,AR_Life_P7
330300241080621,name,3.292,41.8,14.599,44.113,179.78699999999998,71.213,18.342,38.299,40.501,50.405,51.495000000000005,204.81,203.207,121.88,74795.44099999999,0,0,4,1,0,8,5,3,4,0,2,3,1,1,1,4,4,1,1,2,2,3,3,2,2,2,31.9,13.503,26.508,13.982,16.204,8.091,13.1,39.8,30.298,5.696,48.186,6.481,11.805,5.596,2.096,2.689,41.3,17.911,4.154,2.61,4.704,5.498,13.914,2.316,4.402,538.02,0,0,0,0,0,0,-1,-1,-1,2,2,2,-1
330300241083021,name,15.3,56.098,26.203,62.123000000000005,148.191,57.479,20.89,12.563,28.8,26.004,88.614,437.89099999999996,375.608,183.299,22.979,0,0,11,0,2,0,0,0,2,0,1,4,0,1,1,6,6,1,1,1,1,1,4,4,1,1,16.498,25.699,29.112,25.598,19.583,6.701,4.101,25.6,74.512,7.981,14.192,3.478,12.879,15.091,1.504,1.839,43.618,1.895,15.189,4.401,1.404,13.519,2.712,2.003,8.421,2.598,0,0,0,0,0,0,0,0,0,2,2,2,0
140702051582221,name,10.636,46.062,44.654,23.216,208.55900000000003,221.688,9.928,27.59,22.452,34.082,8.195,45.802,18.196,64.826,14.915,0,0,6,4,2,0,0,0,1,0,0,0,0,1,1,1,3,3,1,1,1,1,1,1,1,1,28.459,44.396,13.453,6.827,48.084,7.637,6.775,32.548,3.955,28.565,14.032,2.906,6.247,3.253,1.258,4.196,4.039,1.529,3.291,2.095,2.534,2.996,2.316,1.715,62.92,3.778,0,0,0,0,0,0,0,0,0,2,2,2,0
330300241083621,name,9.285,33.499,13.002,16.134,164.676,217.379,10.781,13.703,12.699,11.797,30.503,204.00300000000001,217.297,40.896,10.5,1,2,2,5,0,0,0,0,0,0,4,0,0,2,2,2,2,1,1,1,1,1,2,3,1,1,15.4,10.798,11.604,13.685,130.674,6.999,3.297,11.899,29.605,126.7,76.201,2.4,6.404,3.604,1.503,1.233,14.422,4.106,4.782,2.103,0.898,1.898,5.2,1.805,1.997,3.096,0,0,0,0,0,0,0,0,0,2,2,2,0
330300201130221,name,1.0750000000000002,20.595,6.495,3.6929999999999996,31.137,8.973,3.806,2.518,10.485,2.111,1.722,5.388,3.729,22.764,6.789,4,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.9,5.901,1.02,2.208,0.977,1.204,3.592,1.507,1.492,0.974,1.123,11.053,1.672,1.2,1.594,1.288,3.111,1.496,3.602,2.069,1.604,1.23,1.22,0.946,2.58,2.997,0,0,0,0,0,0,0,0,0,2,2,2,0
140702051581921,name,10.718,45.834,7.877000000000001,90.715,199.556,63.943,5.179,2.836,19.301,4.732,7.179,271.183,146.959,78.431,8.787,1,0,9,5,3,0,1,0,1,0,7,0,0,1,1,3,3,1,1,1,1,1,2,3,2,1,29.579,6.469,52.893,22.104,24.015,2.335,2.256,4.613,5.49,14.109,1.61,3.221,2.762,4.354,2.408,9.018,1.773,2.082,3.844,2.788,1.119,1.991,3.254,1.836,4.576,5.032,0,0,0,0,0,0,0,0,0,2,2,2,0
330300241082721,name,13.803,53.550999999999995,27.149,76.344,228.78199999999998,299.661,49.397,11.9,31.451,26.555,96.802,179.992,7.177,112.323,23.631,1,1,0,2,4,1,0,0,0,0,0,1,0,2,2,1,2,3,2,1,1,1,1,1,1,1,22.698,9.003,75.3,73.25,5.797,41.497,17.0,15.749,96.798,155.293,3.503,4.622,8.637,17.704,2.303,2.044,21.641,2.501,6.808,1.849,11.806,1.004,0.872,2.776,1.5,3.228,0,0,0,0,0,0,0,0,0,2,2,2,0
330300201133521,name,4.219,17.5,12.595,27.602,346.699,135.099,6.651,14.101,22.31,4.291,22.299,38.839,41.572,14.3,10.699,0,0,17,13,8,0,1,0,0,0,4,0,0,1,1,8,12,6,1,1,1,1,1,1,1,1,9.651,12.55,7.658,2.107,8.795,3.904,4.004,4.393,22.299,16.828,7.866,1.895,3.396,2.537,1.045,0.633,3.8,12.22,3.747,1.313,0.898,1.0,1.336,0.803,2.503,2.279,0,0,0,0,0,0,0,0,0,2,2,2,0
330300201134721,name,7.503,36.053,7.601999999999999,21.011,163.508,66.581,11.697,9.235,14.094,33.146,14.288,64.941,40.305,92.798,14.598,2,2,3,5,2,0,0,0,0,0,0,0,1,2,2,3,2,1,1,1,1,1,1,1,1,1,7.689,5.099,1.203,24.159,30.28,8.599,7.568,22.172,13.638,24.852,20.898,2.228,2.202,5.697,1.509,4.338,26.922,2.402,4.098,1.93,11.974,1.65,5.4,2.301,1.703,3.572,0,0,0,0,0,0,0,0,0,2,2,2,0
330300201130521,name,10.868,40.608,27.2,25.365,89.046,104.607,8.157,5.156,18.544,23.567,12.046,101.465,25.325,175.624,16.75,0,0,1,2,2,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.011,23.399,16.208,28.238,30.102,3.405,6.747,21.003,10.437,5.591,11.84,6.711,4.205,6.401,4.801,1.828,35.205,5.898,5.752,2.801,3.564,2.609,3.755,3.088,1.473,6.743,0,0,0,0,0,0,0,0,0,2,2,2,0
140702051580121,name,4.112,52.546,18.247,28.549000000000003,177.188,43.857,15.934000000000001,3.5970000000000004,8.502,10.982,1.967,31.106,8.729,15.276,8.42,3,2,3,2,0,0,0,0,0,0,0,0,0,1,3,3,2,1,1,1,1,1,1,1,1,1,9.371,8.478,19.367,86.726,26.744,12.244,2.447,10.755,1.474,0.96,2.183,2.656,2.682,7.985,4.873,5.445,1.699,2.224,4.69,2.692,1.227,1.493,3.516,2.237,2.686,3.723,0,0,0,0,0,0,0,0,0,2,2,2,0
330300201134421,name,3.617,19.792,5.384,8.495,27.007,17.901,4.769,1.5699999999999998,13.69,2.524,1.0910000000000002,10.988,9.604,26.032,6.263,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,12.376,4.388,2.504,7.085,1.9,1.603,2.184,2.195,0.98,1.285,2.893,1.992,2.216,3.278,1.996,1.425,11.6,3.196,4.166,7.504,1.329,1.111,1.096,2.106,7.342,3.206,0,0,0,0,0,0,0,0,0,2,2,2,0
