课程名称,时间,视频编号,情绪标签
cut_result1c14_20180521_math_1,00:08:40,52,angry-愤怒
cut_result1c14_20180521_math_1,00:08:50,53,angry-愤怒
cut_result1c14_20180521_math_1,00:09:00,54,happy-喜悦
cut_result1c14_20180521_math_1,00:09:10,55,happy-喜悦
cut_result1c14_20180521_math_1,00:09:20,56,happy-喜悦
cut_result1c14_20180521_math_1,00:09:30,57,angry-愤怒
cut_result1c14_20180521_math_1,00:09:40,58,happy-喜悦
cut_result1c14_20180521_math_1,00:09:50,59,happy-喜悦
cut_result1c14_20180521_math_1,00:10:00,60,happy-喜悦
cut_result1c14_20180521_math_1,00:10:10,61,disgust-厌恶蔑视
cut_result1c14_20180521_math_1,00:10:20,62,happy-喜悦
cut_result1c14_20180521_math_1,00:10:30,63,TS-师生互动
cut_result1c14_20180521_math_1,00:10:40,64,angry-愤怒
cut_result1c14_20180521_math_1,00:10:50,65,happy-喜悦
cut_result1c14_20180521_math_1,00:11:00,66,angry-愤怒
cut_result1c14_20180521_math_1,00:11:10,67,happy-喜悦
cut_result1c14_20180521_math_1,00:11:20,68,angry-愤怒
cut_result1c14_20180521_math_1,00:11:30,69,happy-喜悦
cut_result1c14_20180521_math_1,00:11:40,70,happy-喜悦
cut_result1c14_20180521_math_1,00:11:50,71,happy-喜悦
cut_result1c14_20180521_math_1,00:12:00,72,happy-喜悦
cut_result1c14_20180521_math_1,00:12:10,73,happy-喜悦
cut_result1c14_20180521_math_1,00:12:20,74,happy-喜悦
cut_result1c14_20180521_math_1,00:12:30,75,angry-愤怒
cut_result1c14_20180521_math_1,00:12:40,76,happy-喜悦
cut_result1c14_20180521_math_1,00:12:50,77,angry-愤怒
cut_result1c14_20180521_math_1,00:13:00,78,happy-喜悦
cut_result1c14_20180521_math_1,00:13:10,79,happy-喜悦
cut_result1c14_20180521_math_1,00:13:20,80,happy-喜悦
cut_result1c14_20180521_math_1,00:13:30,81,happy-喜悦
cut_result1c14_20180521_math_1,00:13:40,82,happy-喜悦
cut_result1c14_20180521_math_1,00:13:50,83,happy-喜悦
cut_result1c14_20180521_math_1,00:14:00,84,happy-喜悦
cut_result1c14_20180521_math_1,00:14:10,85,happy-喜悦
cut_result1c14_20180521_math_1,00:14:20,86,angry-愤怒
cut_result1c14_20180521_math_1,00:14:30,87,happy-喜悦
cut_result1c14_20180521_math_1,00:14:40,88,happy-喜悦
cut_result1c14_20180521_math_1,00:14:50,89,angry-愤怒
cut_result1c14_20180521_math_1,00:15:00,90,TS-师生互动
cut_result1c14_20180521_math_1,00:15:10,91,happy-喜悦
cut_result1c14_20180521_math_1,00:15:20,92,happy-喜悦
cut_result1c14_20180521_math_1,00:15:30,93,happy-喜悦
cut_result1c14_20180521_math_1,00:15:40,94,happy-喜悦
cut_result1c14_20180521_math_1,00:15:50,95,angry-愤怒
cut_result1c14_20180521_math_1,00:16:00,96,happy-喜悦
cut_result1c14_20180521_math_1,00:16:10,97,happy-喜悦
cut_result1c14_20180521_math_1,00:16:20,98,angry-愤怒
cut_result1c14_20180521_math_1,00:16:30,99,happy-喜悦
cut_result1c14_20180521_math_1,00:16:40,100,angry-愤怒
cut_result1c14_20180521_math_1,00:16:50,101,happy-喜悦
cut_result1c14_20180521_math_1,00:17:00,102,happy-喜悦
cut_result1c14_20180521_math_1,00:17:10,103,Delate-删除的
cut_result1c14_20180521_math_1,00:17:20,104,happy-喜悦
cut_result1c14_20180521_math_1,00:17:30,105,happy-喜悦
cut_result1c14_20180521_math_1,00:17:40,106,angry-愤怒
cut_result1c14_20180521_math_1,00:17:50,107,TS-师生互动
cut_result1c14_20180521_math_1,00:18:00,108,happy-喜悦
cut_result1c14_20180521_math_1,00:18:10,109,angry-愤怒
cut_result1c14_20180521_math_1,00:18:20,110,happy-喜悦
cut_result1c14_20180521_math_1,00:18:30,111,angry-愤怒
cut_result1c14_20180521_math_1,00:18:40,112,surprised-惊讶
cut_result1c14_20180521_math_1,00:18:50,113,happy-喜悦
cut_result1c14_20180521_math_1,00:19:00,114,angry-愤怒
cut_result1c14_20180521_math_1,00:19:10,115,happy-喜悦
cut_result1c14_20180521_math_1,00:19:20,116,happy-喜悦
cut_result1c14_20180521_math_1,00:19:30,117,Delate-删除的
cut_result1c14_20180521_math_1,00:19:40,118,happy-喜悦
cut_result1c14_20180521_math_1,00:19:50,119,angry-愤怒
cut_result1c14_20180521_math_1,00:20:00,120,TS-师生互动
cut_result1c14_20180521_math_1,00:20:10,121,happy-喜悦
cut_result1c14_20180521_math_1,00:20:20,122,TS-师生互动
cut_result1c14_20180521_math_1,00:20:30,123,TS-师生互动
cut_result1c14_20180521_math_1,00:20:40,124,happy-喜悦
cut_result1c14_20180521_math_1,00:20:50,125,surprised-惊讶
cut_result1c14_20180521_math_1,00:21:00,126,surprised-惊讶
cut_result1c14_20180521_math_1,00:21:10,127,Delate-删除的
cut_result1c14_20180521_math_1,00:21:20,128,TS-师生互动
cut_result1c14_20180521_math_1,00:21:30,129,happy-喜悦
cut_result1c14_20180521_math_1,00:21:40,130,surprised-惊讶
cut_result1c14_20180521_math_1,00:21:50,131,happy-喜悦
cut_result1c14_20180521_math_1,00:22:00,132,happy-喜悦
cut_result1c14_20180521_math_1,00:22:10,133,TS-师生互动
cut_result1c14_20180521_math_1,00:22:20,134,happy-喜悦
cut_result1c14_20180521_math_1,00:22:30,135,happy-喜悦
cut_result1c14_20180521_math_1,00:22:40,136,happy-喜悦
cut_result1c14_20180521_math_1,00:22:50,137,surprised-惊讶
cut_result1c14_20180521_math_1,00:23:00,138,Delate-删除的
cut_result1c14_20180521_math_1,00:23:10,139,TS-师生互动
cut_result1c14_20180521_math_1,00:23:20,140,happy-喜悦
cut_result1c14_20180521_math_1,00:23:30,141,happy-喜悦
cut_result1c14_20180521_math_1,00:23:40,142,TS-师生互动
cut_result1c14_20180521_math_1,00:23:50,143,happy-喜悦
cut_result1c14_20180521_math_1,00:24:00,144,happy-喜悦
cut_result1c14_20180521_math_1,00:24:10,145,TS-师生互动
cut_result1c14_20180521_math_1,00:24:20,146,TS-师生互动
cut_result1c14_20180521_math_1,00:24:30,147,happy-喜悦
cut_result1c14_20180521_math_1,00:24:40,148,happy-喜悦
cut_result1c14_20180521_math_1,00:24:50,149,happy-喜悦
cut_result1c14_20180521_math_1,00:25:00,150,happy-喜悦
cut_result1c14_20180521_math_1,00:25:10,151,happy-喜悦
cut_result1c14_20180521_math_1,00:25:20,152,TS-师生互动
cut_result1c14_20180521_math_1,00:25:30,153,happy-喜悦
cut_result1c14_20180521_math_1,00:25:40,154,happy-喜悦
cut_result1c14_20180521_math_1,00:25:50,155,happy-喜悦
cut_result1c14_20180521_math_1,00:26:00,156,TS-师生互动
cut_result1c14_20180521_math_1,00:26:10,157,TS-师生互动
cut_result1c14_20180521_math_1,00:26:20,158,happy-喜悦
cut_result1c14_20180521_math_1,00:26:30,159,TS-师生互动
cut_result1c14_20180521_math_1,00:26:40,160,TS-师生互动
cut_result1c14_20180521_math_1,00:26:50,161,happy-喜悦
cut_result1c14_20180521_math_1,00:27:00,162,happy-喜悦
cut_result1c14_20180521_math_1,00:27:10,163,surprised-惊讶
cut_result1c14_20180521_math_1,00:27:20,164,happy-喜悦
cut_result1c14_20180521_math_1,00:27:30,165,happy-喜悦
cut_result1c14_20180521_math_1,00:27:40,166,happy-喜悦
cut_result1c14_20180521_math_1,00:27:50,167,happy-喜悦
cut_result1c14_20180521_math_1,00:28:00,168,surprised-惊讶
cut_result1c14_20180521_math_1,00:28:10,169,surprised-惊讶
cut_result1c14_20180521_math_1,00:28:20,170,happy-喜悦
cut_result1c14_20180521_math_1,00:28:30,171,happy-喜悦
cut_result1c14_20180521_math_1,00:28:40,172,TS-师生互动
cut_result1c14_20180521_math_1,00:28:50,173,Delate-删除的
cut_result1c14_20180521_math_1,00:29:00,174,TS-师生互动
cut_result1c14_20180521_math_1,00:29:10,175,Delate-删除的
cut_result1c14_20180521_math_1,00:29:20,176,TS-师生互动
cut_result1c14_20180521_math_1,00:29:30,177,Delate-删除的
cut_result1c14_20180521_math_1,00:29:40,178,TS-师生互动
cut_result1c14_20180521_math_1,00:29:50,179,TS-师生互动
cut_result1c14_20180521_math_1,00:30:00,180,happy-喜悦
cut_result1c14_20180521_math_1,00:30:10,181,Delate-删除的
cut_result1c14_20180521_math_1,00:30:20,182,TS-师生互动
cut_result1c14_20180521_math_1,00:30:30,183,TS-师生互动
cut_result1c14_20180521_math_1,00:30:40,184,angry-愤怒
cut_result1c14_20180521_math_1,00:30:50,185,happy-喜悦
cut_result1c14_20180521_math_1,00:31:00,186,TS-师生互动
cut_result1c14_20180521_math_1,00:31:10,187,TS-师生互动
cut_result1c14_20180521_math_1,00:31:20,188,TS-师生互动
cut_result1c14_20180521_math_1,00:31:30,189,TS-师生互动
cut_result1c14_20180521_math_1,00:31:40,190,angry-愤怒
cut_result1c14_20180521_math_1,00:31:50,191,TS-师生互动
cut_result1c14_20180521_math_1,00:32:00,192,Delate-删除的
cut_result1c14_20180521_math_1,00:32:10,193,TS-师生互动
